DATE,CUMFNS
1970-02-01,81.9380
1970-03-01,81.4462
1970-04-01,80.9011
1970-05-01,80.4593
1970-06-01,79.9662
1970-07-01,79.9645
1970-08-01,79.1743
1970-09-01,78.2647
1970-10-01,76.2794
1970-11-01,75.5798
1970-12-01,77.3330
1971-01-01,77.7685
1971-02-01,77.6072
1971-03-01,77.2483
1971-04-01,77.4566
1971-05-01,77.7805
1971-06-01,77.7789
1971-07-01,77.7143
1971-08-01,76.6008
1971-09-01,77.9550
1971-10-01,78.9153
1971-11-01,79.0088
1971-12-01,79.5436
1972-01-01,81.3563
1972-02-01,81.8387
1972-03-01,82.1969
1972-04-01,82.8652
1972-05-01,82.7987
1972-06-01,82.8694
1972-07-01,82.6283
1972-08-01,83.5009
1972-09-01,83.9220
1972-10-01,84.8876
1972-11-01,85.6903
1972-12-01,86.5657
1973-01-01,86.9679
1973-02-01,88.0870
1973-03-01,87.9647
1973-04-01,87.5329
1973-05-01,87.8033
1973-06-01,87.5117
1973-07-01,87.5868
1973-08-01,87.0713
1973-09-01,87.4335
1973-10-01,87.9861
1973-11-01,88.3136
1973-12-01,88.0625
1974-01-01,87.0903
1974-02-01,86.4819
1974-03-01,86.1303
1974-04-01,85.5109
1974-05-01,85.9155
1974-06-01,85.6978
1974-07-01,85.4406
1974-08-01,84.4646
1974-09-01,84.2780
1974-10-01,83.5170
1974-11-01,80.8563
1974-12-01,77.0531
1975-01-01,75.3427
1975-02-01,73.1344
1975-03-01,72.0228
1975-04-01,71.8945
1975-05-01,71.6955
1975-06-01,72.1926
1975-07-01,73.0782
1975-08-01,73.6925
1975-09-01,74.7836
1975-10-01,75.0367
1975-11-01,75.0111
1975-12-01,75.9509
1976-01-01,76.6910
1976-02-01,77.6618
1976-03-01,77.7231
1976-04-01,78.0044
1976-05-01,78.2015
1976-06-01,78.1161
1976-07-01,78.4709
1976-08-01,78.7985
1976-09-01,78.8134
1976-10-01,78.5380
1976-11-01,79.3757
1976-12-01,80.0125
1977-01-01,79.4992
1977-02-01,80.7699
1977-03-01,81.7241
1977-04-01,82.3882
1977-05-01,82.8240
1977-06-01,83.3149
1977-07-01,83.0738
1977-08-01,83.2927
1977-09-01,83.1118
1977-10-01,83.0270
1977-11-01,82.9971
1977-12-01,83.6324
1978-01-01,82.1496
1978-02-01,82.2301
1978-03-01,83.4516
1978-04-01,84.4536
1978-05-01,84.6087
1978-06-01,84.9512
1978-07-01,84.5978
1978-08-01,84.7735
1978-09-01,84.8823
1978-10-01,85.2229
1978-11-01,85.7416
1978-12-01,86.1065
1979-01-01,85.2276
1979-02-01,85.2445
1979-03-01,85.4034
1979-04-01,83.7258
1979-05-01,84.6423
1979-06-01,84.4912
1979-07-01,84.3433
1979-08-01,83.0831
1979-09-01,82.9509
1979-10-01,83.1770
1979-11-01,82.7205
1979-12-01,82.7577
1980-01-01,82.9833
